,Title,DOI,Link,Abstract,Author Keywords,Index Keywords,FSC_stage
106,a vegetable leaf disease identification model based on image-text cross-modal feature fusion,10.3389/fpls.2022.918940,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134052492&doi=10.3389%2ffpls.2022.918940&partnerID=40&md5=c75042c63a30349a5a028ba084fa85e7,in view of the differences in appearance and the complex backgrounds of crop diseases automatic identification of field diseases is an extremely challenging topic in smart agriculture to address this challenge a popular approach is to design a deep convolutional neural network dcnn model that extracts visual disease features in the images and then identifies the diseases based on the extracted features this approach performs well under simple background conditions but has low accuracy and poor robustness under complex backgrounds in this paper an end-to-end disease identification model composed of a disease-spot region detector and a disease classifier yolov5s + bicmt was proposed specifically the yolov5s network was used to detect the disease-spot regions so as to provide a regional attention mechanism to facilitate the disease identification task of the classifier for the classifier a bidirectional cross-modal transformer bicmt model combining the image and text modal information was constructed which utilizes the correlation and complementarity between the features of the two modalities to achieve the fusion and recognition of disease features meanwhile the problem of inconsistent lengths among different modal data sequences was solved eventually the yolov5s + bicmt model achieved the optimal results on a small dataset its accuracy precision sensitivity and specificity reached 9923 9737 9754 and 9954% respectively this paper proves that the bidirectional cross-modal feature fusion by combining disease images and texts is an effective method to identify vegetable diseases in field environments copyright © 2022 feng zhao wang wu miao and zhang,complex background cross-modal fusion disease identification few-shot transformer,blank,food production
107,100th anniversary of macromolecular science viewpoint: data-driven protein design,10.1021/acsmacrolett.0c00885,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101723155&doi=10.1021%2facsmacrolett.0c00885&partnerID=40&md5=f7c5eda00d95bc8d40996b80a14d13fe,"the design of synthetic proteins with the desired function is a long-standing goal in biomolecular science with broad applications in biochemical engineering agriculture medicine and public health rational de novo design and experimental directed evolution have achieved remarkable successes but are challenged by the requirement to find functional ""needles""in the vast ""haystack""of protein sequence space data-driven models for fitness landscapes provide a predictive map between protein sequence and function and can prospectively identify functional candidates for experimental testing to greatly improve the efficiency of this search this viewpoint reviews the applications of machine learning and in particular deep learning as part of data-driven protein engineering platforms we highlight recent successes review promising computational methodologies and provide an outlook on future challenges and opportunities the article is written for a broad audience comprising both polymer and protein scientists and computer and data scientists interested in an up-to-date review of recent innovations and opportunities in this rapidly evolving field © 2021 american chemical society all rights reserved",blank,agricultural robots biochemical engineering deep learning biomolecular science computational methodology data-driven model directed evolution experimental testing future challenges protein engineering synthetic protein proteins protein amino acid sequence chemistry history machine learning macromolecule protein engineering amino acid sequence anniversaries and special events machine learning macromolecular substances protein engineering proteins,food production
108,identifying crop yield gaps with site- and season-specific data-driven models of yield potential,10.1007/s11119-021-09850-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114820884&doi=10.1007%2fs11119-021-09850-7&partnerID=40&md5=614480b86fbcb051e6ffa8030ba20c11,there is considerable interest and value in identifying the gap between crop yields that have actually been achieved and yields that could have potentially been achieved a suite of methods currently exist to estimate the yield potential of a crop but there are no approaches that predict the site- and season-specific yield potential using datasets that are readily available and easily accessible for farmers the aim of this study was to fill this need and develop a novel approach to identify crop yield gaps through site- and season-specific models of crop yield potential the study focused on cotton lint yield with data from 14 different seasons and 68 different fields from a collection of large irrigated cotton farms in eastern australia this abundance of yield data was then joined with other spatial and temporal datasets that describe yield such as rainfall temperature soil and management a quantile random forest machine learning model was then used to model yield at 30 m resolution where the 95th percentile predictions were treated as the yield potential the yield gaps at a 30 m resolution were then estimated for all seasons and sites the results were compared to a more traditional ‘historical maximum yield’ approach where no data modelling and only empirical yield data was used to estimate the yield potential this revealed that there was a general agreement between the two approaches although the quantile machine learning approach is both site- and season-specific not just site-specific overall there is a great need for alternative approaches to estimate yield potential and yield gaps as the approaches currently available possess many limitations the approach developed in this study has the potential for wide-spread adoption in broadacre cropping systems and if the causes of yield gaps are identified could lead to the implementation of management strategies to close them © 2021 the authors under exclusive licence to springer science+business media llc part of springer nature,cotton data-driven models irrigation precision agriculture yield stability yield variability,blank,food production
111,watson on the farm: using cloud-based artificial intelligence to identify early indicators of water stress,10.3390/rs11222645,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075382375&doi=10.3390%2frs11222645&partnerID=40&md5=fe55ec6faf34a28ad6b30689d14e5173,as demand for freshwater increases while supply remains stagnant the critical need for sustainable water use in agriculture has led the epa strategic plan to call for new technologies that can optimize water allocation in real-time this work assesses the use of cloud-based artificial intelligence to detect early indicators of water stress across six container-grown ornamental shrub species near-infrared images were previously collected with modified canon and mapir survey ii cameras deployed via a small unmanned aircraft system suas at an altitude of 30 meters cropped images of plants in no low- and high-water stress conditions were split into four-fold cross-validation sets and used to train models through ibm watson's visual recognition service despite constraints such as small sample size 36 plants 150 images and low image resolution 150 pixels by 150 pixels per plantwatson generated models were able to detect indicators of stress after 48 hours of water deprivation with a significant to marginally significant degree of separation in four out of five species tested p < 010 two models were also able to detect indicators of water stress after only 24 hours with models trained on images of as few as eight water-stressed buddleia plants achieving an average area under the curve auc of 09884 across four folds ease of pre-processing minimal amount of training data required and outsourced computation make cloud-based artificial intelligence services such as ibm watson visual recognition an attractive tool for agriculture analytics cloud-based artificial intelligence can be combined with technologies such as suas and spectral imaging to help crop producers identify deficient irrigation strategies and intervene before crop value is diminished when brought to scale frameworks such as these can drive responsive irrigation systems that monitor crop status in real-time and maximize sustainable water use © 2019 by the authors,artificial intelligence container-grown deep learning machine learning neural network ornamental precision agriculture suas visual recognition water stress,containers crops deep learning deep neural networks digital storage image resolution infrared devices infrared imaging irrigation learning systems neural networks pixels precision agriculture real time systems spectroscopy training aircraft unmanned aerial vehicles uav water conservation area under the curves near- infrared images ornamental small unmanned aircrafts suas sustainable water use visual recognition water stress artificial intelligence,food production
115,generating high-resolution and long-term spei dataset over southwest china through downscaling eead product by machine learning,10.3390/rs14071662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128061277&doi=10.3390%2frs14071662&partnerID=40&md5=c504663ac340d25e49ba31a08be5b9d4,drought is an event of shortages in the water supply whether atmospheric surface water or ground water prolonged droughts have negative impacts on ecosystems agriculture society and the economy although existing drought index products are widely utilized in drought monitoring the coarse spatial resolution greatly limits their applications on regional or local scales machine learning driven by remote sensing observations offers an opportunity to monitor regional scale droughts however the limited time range of remote sensing observations such as vegetation index vi resulted in a substantial gap in generating high resolution drought index products before 2000 this study generated spatiotemporally continuous standardized precipitation evapotranspiration index spei data spanning from 1901–2018 in southwestern china by machine learning it indicated that four classification and regression tree cart approaches decision trees dt random forest rf gradient boosted regression trees gbrt and extra trees et can provide valid local drought information by downscaling the estación experimental de aula dei eead data the in-situ spei dataset produced by the penman–monteith method was used as a benchmark to evaluate the temporal and spatial performance of the downscaled spei in addition the necessity of vi in spei downscaling was also assessed the results showed that: 1 the et-based product has the best performance r2 = 0889 mae = 0232 rmse = 0432 2 the vi provides no significant improvement for spei re-construction 3 topography exerts an obvious influence on the downscaling process and 4 the downscaled spei shows more consistency with the in-situ spei compared with eead spei the proposed method can be easily extended to other areas without in-situ data and enhance the ability of long-term drought monitoring © 2022 by the authors licensee mdpi basel switzerland,downscaling machine learning spei vegetation index,benchmarking classification of information decision trees forestry groundwater machine learning remote sensing surface waters topography vegetation water supply down-scaling drought monitoring extra-trees high resolution machine-learning regional scale remote-sensing southwest china standardized precipitation evapotranspiration index vegetation index drought,food production
120,evapotranspiration partitioning assessment using a machine-learning-based leaf area index and the two-source energy balance model with suav information,10.1117/12.2586259,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109028926&doi=10.1117%2f12.2586259&partnerID=40&md5=99435bec228ac1fa4d2f91f5f133be2c,accurate quantification of the partitioning of evapotranspiration et into transpiration and evaporation fluxes is necessary to understanding ecosystem interactions among carbon water and energy flux components et partitioning can also support the description of atmosphere and land interactions and provide unique insights into vegetation water status previous studies have identified leaf area index lai estimation as a key descriptor of biomass conditions needed for the estimation of transpiration and evaporation lai estimation in clumped vegetation systems such as vineyards and orchards has proven challenging and is strongly related to crop phenological status and canopy management in this study a feature extraction model based on previous research was built to generate a total of 202 preliminary variables at a 36-by-36- meter-grid scale based on submeter-resolution information from a small unmanned aerial vehicle suav in four commercial vineyards across california using these variables a machine learning model called extreme gradient boosting xgboost was successfully built for lai estimation the xgboost built-in function requires only six variables relating to vegetation indices and temperature to produce high-accuracy lai estimation for the vineyard using the sixvariable xgboost-based lai map two versions of the two-source energy balance tseb model tseb-pt and tseb- 2t were used for energy balance and et partitioning comparing these results with the eddy-covariance ec tower data showed that tseb-pt outperforms tseb-2t on the estimation of sensible heat flux within 13% relative error and surface heat flux within 34% relative error while tseb-2t outperforms tseb-pt on the estimation of net radiation within 14% relative error and latent heat flux within 2% relative error for the mature vineyard north block tseb-2t performs better than tseb-pt in partitioning the canopy latent heat flux with 68% relative error and soil latent heat flux with 217% relative error however for the younger vineyard south block tseb-pt performs better than tseb-2t in partitioning the canopy latent heat flux with 117% relative error and soil latent heat flux with 393% relative error © copyright spie downloading of the abstract is permitted for personal use only,ec tower data et partitioning lai tseb models xgboost,adaptive boosting antennas commercial vehicles energy balance errors evapotranspiration forestry latent heat machine learning transpiration turing machines vegetation accurate quantifications built-in functions machine learning models sensible heat flux small unmanned aerial vehicles surface heat fluxes two-source energy balance model vegetation systems heat flux,food production
122,androgen receptor binding category prediction with deep neural networks and structure- ligand- and statistically based features,10.3390/molecules26051285,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102331860&doi=10.3390%2fmolecules26051285&partnerID=40&md5=aa1044cb09e5f6e98e86a3e55c4410b7,substances that can modify the androgen receptor pathway in humans and animals are entering the environment and food chain with the proven ability to disrupt hormonal systems and leading to toxicity and adverse effects on reproduction brain development and prostate cancer among others state-of-the-art databases with experimental data of human chimp and rat effects by chemicals have been used to build machine-learning classifiers and regressors and to evaluate these on independent sets different featurizations algorithms and protein structures lead to different results with deep neural networks dnns on user-defined physicochemically relevant features developed for this work outperforming graph convolutional random forest and large featurizations the results show that these user-provided structure- ligand- and statistically based features and specific dnns provided the best results as determined by auc 087 mcc 047 and other metrics and by their interpretability and chemical meaning of the descriptors/features in addition the same features in the dnn method performed better than in a multivariate logistic model: validation mcc = 0468 and training mcc = 0868 for the present work compared to evaluation set mcc = 02036 and training set mcc = 05364 for the multivariate logistic regression on the full unbalanced set techniques of this type may improve ar and toxicity description and prediction improving assessment and design of compounds source code and data are available on github © 2021 by the authors,androgen receptor artificial intelligence deep neural network machine learning random forest,androgen receptor ar protein human ligand protein protein binding algorithm animal genetics human rat software statistical model algorithms animals deep learning humans ligands logistic models neural networks computer protein binding proteins rats receptors androgen software,food production
123,climate change effects on pathogen emergence: artificial intelligence to translate big data for mitigation,10.1146/annurev-phyto-021021-042636,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137134727&doi=10.1146%2fannurev-phyto-021021-042636&partnerID=40&md5=14b0d0fa4826bbd763afd803c87730eb,plant pathology has developed a wide range of concepts and tools for improving plant disease management including models for understanding and responding to new risks from climate change most of these tools can be improved using new advances in artificial intelligence ai such as machine learning to integrate massive data sets in predictive models there is the potential to develop automated analyses of risk that alert decision-makers from farm managers to national plant protection organizations to the likely need for action and provide decision support for targeting responses we review machine-learning applications in plant pathology and synthesize ideas for the next steps to make the most of these tools in digital agriculture global projects such as the proposed global surveillance system for plant disease will be strengthened by the integration of the wide range of new data including data from tools like remote sensors that are used to evaluate the risk ofplant disease there is exciting potential for the use of ai to strengthen global capacity building as well from image analysis for disease diagnostics and associated management recommendations on farmers rsquo phones to future training methodologies for plant pathologists that are customized in real-time for management needs in response to the current risks international cooperation in integrating data and models will help develop the most effective responses to new challenges from climate change copyright © 2022 by annual reviews all rights reserved,artificial intelligence climate change decision support geographic risk plant disease remote sensing,agriculture artificial intelligence climate change machine learning agriculture artificial intelligence big data climate change machine learning,food production
124,evaporation forecasting through interpretable data analysis techniques,10.3390/electronics11040536,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124269465&doi=10.3390%2felectronics11040536&partnerID=40&md5=46fae0a68efba34b71381b7baf66417d,climate change is increasing temperatures and causing periods of water scarcity in arid and semi-arid climates the agricultural sector is one of the most affected by these changes having to optimise scarce water resources an important phenomenon within the water cycle is the evaporation from water reservoirs which implies a considerable amount of water lost during warmer periods of the year indeed evaporation rate forecasting can help farmers grow crops more sustainably by managing water resources more efficiently in the context of precision agriculture in this work we expose an interpretable machine learning approach based on a multivariate decision tree to forecast the evaporation rate on a daily basis using data from an internet of things iot infrastructure which is deployed on a real irrigated plot located in murcia southeastern spain the climate data collected feed the models that provide a forecast of evaporation and a summary of the parameters involved in this process finally the results of the interpretable presented model are validated with the best literature models for evaporation rate prediction ie artificial neural networks obtaining results very similar to those obtained for them reaching up to 085r2 and 06mae therefore in this work a double objective is faced: to maintain the performance obtained by the models most frequently used in the problem while maintaining the interpretability of the knowledge captured in it which allows better understanding the problem and carrying out appropriate actions © 2022 by the authors licensee mdpi basel switzerland,evaporation forecast interpretable machine learning iot smart agriculture,blank,food production
125,an analysis of the drivers that affect greening and browning trends in the context of pursuing land degradation-neutrality,10.1016/j.rsase.2019.100251,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070732600&doi=10.1016%2fj.rsase.2019.100251&partnerID=40&md5=b9947d98968cef8d338b18d926a1f36f,understanding the drivers of land degradation and regeneration is crucial for planning appropriate responses within both degraded and non-degraded land in this paper using kenya as the study area we sought to identify the key drivers that affect greening and browning trends within the 4 main land cover types agriculture forest grassland and shrubland and within an area characterised by land cover change the methodological approach used was the random forest classification algorithm whereby the dependent variable was represented as 4 classes of ndvi greening and browning trends strong browning moderate browning moderate greening and strong greening the explanatory variables n = 28 were broadly grouped into 2 categories natural and anthropogenic and included a number of variables as proxies for broad socio-economic development all models showed strong performance and the mean values for accuracy and kappa were 096 and 095 respectively variables that repeatedly featured as the 5 most important variables across the datasets were: travel time to an urban area distance to towns distance to roads distance to rivers slope and vulnerability to climate change impacts when the variables were grouped by sdgs the results obtained showed that the variables grouped under the sdgs 15 life on land 8 economic growth and 13 climate action cumulatively accounted for approximately 80% of the prediction of the greening and browning trends our results raise the following considerations to enrich on-going and future policy and planning discussions aimed at addressing ldn: the implementation of ldn should be anchored on tried and tested slm interventions further analysis of the drivers of greening and browning trends should be undertaken at the sub-national level integrated approaches that lead to greater alignment across multiple development priorities including climate change should be promoted and targeted enforcement of environmental legislation is needed to deter processes and activities that are likely to lead to the degradation of land © 2019 elsevier bv,drivers kenya land degradation-neutrality ndvi random forest,blank,food production
126,machine learning models outperform deep learning models provide interpretation and facilitate feature selection for soybean trait prediction,10.1186/s12870-022-03559-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127930225&doi=10.1186%2fs12870-022-03559-z&partnerID=40&md5=c81393b013953de65b7f9782f2974e01,recent growth in crop genomic and trait data have opened opportunities for the application of novel approaches to accelerate crop improvement machine learning and deep learning are at the forefront of prediction-based data analysis however few approaches for genotype to phenotype prediction compare machine learning with deep learning and further interpret the models that support the predictions this study uses genome wide molecular markers and traits across 1110 soybean individuals to develop accurate prediction models for 13/14 sets of predictions xgboost or random forest outperformed deep learning models in prediction performance top ranked snps by f-score were identified from xgboost and with further investigation found overlap with significantly associated loci identified from gwas and previous literature feature importance rankings were used to reduce marker input by up to 90% and subsequent models maintained or improved their prediction performance these findings support interpretable machine learning as an approach for genomic based prediction of traits in soybean and other crops © 2022 the authors,feature selection genomic selection interpretable models machine learning soybean xgboost,genetics genotype machine learning phenotype soybean deep learning genotype machine learning phenotype soybeans,food production
130,novel sequencing and genomic technologies revolutionized rice genomic study and breeding,10.3390/agronomy12010218,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123218668&doi=10.3390%2fagronomy12010218&partnerID=40&md5=be29de5d20c9858de785b2552abb5690,rice is one of the most important food crops worldwide population growth and climate change posed great challenges for further rice production in the past decade we have witnessed an explosive development in novel sequencing and genomic technologies these technologies have been widely applied in rice genomic study and improvement processes and contributed greatly to increase the efficiency and accuracy of rice breeding on the other hand novel sequencing and genomic technologies also promote the shift of breeding schemes from conventional field selection processes to genomic assisted breeding these technologies have revolutionized almost every aspect of rice study and breeding here we systematically sorted out and reviewed the progress and advancements of sequencing and genomic technologies we further discussed how these technologies were incorporated into rice breeding practices and helped accelerate the rice improvement process finally we reflected on how to further utilize novel sequencing and genomic technologies in rice genetic improvement as well as the future trends of advancement for these technologies it can be expected that as the sequencing and genomic technologies will develop much more quickly in the future and be combined with novel bioinformatics tools rice breeding will move forward into the genomic assisted era © 2022 by the authors licensee mdpi basel switzerland,breeding functional genomic genomic technologies rice sequencing technologies,blank,food production
135,enhanced type-2 wang-mendel approach,10.1080/0952813X.2022.2135614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142123536&doi=10.1080%2f0952813X.2022.2135614&partnerID=40&md5=f0d3003c436375773d3831d9afe8ecc2,the wang-mendel approach wma focuses on combining the numerical as well as linguistic information for achieving greater explainability for inference models the standard wma models the linguistic information using type-1 t1 fuzzy sets fss which have a reduced capability to model the semantics of linguistic information therefore we propose a novel enhanced wma which models the linguistic information using the type-2 t2 fss further our enhanced t2 fs-based wma can be modified to reflect the use of interval type-2 it2 fss for modelling linguistic uncertainty it2 fss are suitable when better uncertainty handling capabilities are required compared to t1 fss however at a computational cost lesser than the t2 fss performance of enhanced wma is demonstrated through a real-world crop-yield prediction problem in smart agriculture and an additional exemplar application on users’ satisfaction ratings further we have compared our approach with the performance obtained from the t1 fs-based wma and the original estimations given in the original data we found that our enhanced wma provides more precise estimates than the other two with 95% confidence level to the best of our knowledge this is the first proposal of a t2 fss method for enhancing the modeling of linguistic uncertainty in the wma © 2022 the authors published by informa uk limited trading as taylor & francis group,explainable artificial intelligence interval type-2 fuzzy sets wang-mendel approach,fuzzy sets information use uncertainty analysis explainable artificial intelligence inference models interval type-2 fuzzy sets linguistic information linguistic uncertainty numerical information performance type-1 fuzzy sets type-2 fuzzy set wang-mendel approach semantics,food production
136,bio-oil production from biogenic wastes the hydrothermal conversion step,10.12688/openreseurope.14915.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146273282&doi=10.12688%2fopenreseurope.14915.2&partnerID=40&md5=b5d43447bba1a5f6338dbef79e75b17c,background: food wastes are an abundant resource that can be effectively valorised by hydrothermal liquefaction to produce bio-fuels the objective of the european project waste2road is to demonstrate the complete value chain from waste collection to engine tests the principle of hydrothermal liquefaction is well known but there are still many factors that make the science very empirical most experiments in the literature are performed on batch reactors comparison of results from batch reactors with experiments with continuous reactors are rare in the literature methods: various food wastes were transformed by hydrothermal liquefaction the resources used and the products from the experiments have been extensively analysed two different experimental reactors have been used a batch reactor and a continuous reactor this paper presents a dataset of fully documented experiments performed in this project on food wastes with different compositions conditions and solvents the data set is extended with data from the literature the data was analysed using machine learning analysis and regression techniques results: this paper presents experimental results on various food wastes as well as modelling and analysis with machine learning algorithms the experimental results were used to attempt to establish a link between batch and continuous experiments the molecular weight of bio-oil from continuous experiments appear higher than that of batch experiments this may be due to the configuration of our reactor conclusions: this paper shows how the use of regression models help with understanding the results and the importance of process variables and resource composition a novel data analysis technique gives an insight on the accuracy that can be obtained from these models © 2022 haarlemmer g and roubaud a,bio-oil biochar biocrude biofuel food wastes hydrothermal liquefaction machine learning,blank,food production
137,exploration of machine learning algorithms for predicting the changes in abundance of antibiotic resistance genes in anaerobic digestion,10.1016/j.scitotenv.2022.156211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131368217&doi=10.1016%2fj.scitotenv.2022.156211&partnerID=40&md5=c59cfb8cf32d65d0b27302c1a5c87eb5,the land application of digestate from anaerobic digestion ad is considered a significant route for transmitting antibiotic resistance genes args and mobile genetic elements mges to ecosystems to date efforts towards understanding complex non-linear interactions between ad operating parameters with arg/mge abundances rely on experimental investigations due to a lack of mechanistic models herein three different machine learning ml algorithms random forest rf extreme gradient boosting xgboost and artificial neural network ann were compared for their predictive capacities in simulating arg/mge abundance changes during ad the models were trained and cross-validated using experimental data collected from 33 published literature the comparison of model performance using coefficients of determination r2 and root mean squared errors rmse indicated that ann was more reliable than rf and xgboost the mode of operation batch/semi-continuous co-digestion of food waste and sewage sludge and residence time were identified as the three most critical features in predicting arg/mge abundance changes moreover the trained ann model could simulate non-linear interactions between operational parameters and arg/mge abundance changes that could be interpreted intuitively based on existing knowledge overall this study demonstrates that machine learning can enable a reliable predictive model that can provide a holistic optimization tool for mitigating the arg/mge transmission potential of ad © 2022 elsevier bv,anaerobic digestion antibiotic resistance genes machine learning mobile genetic elements,adaptive boosting anaerobic digestion antibiotics decision trees genes mean square error neural networks sewage sludge sludge digestion antibiotic resistance genes digestate element abundances experimental investigations land applications machine learning algorithms mechanistic models nonlinear interactions operating parameters random forests machine learning abundance algorithm anaerobic digestion antibiotic resistance exploration gene machine learning prediction anaerobic digestion antibiotic resistance article artificial neural network food waste machine learning mobile genetic element predictive model random forest retention time root mean squared error sewage algorithm anaerobic growth antibiotic resistance bacterial gene ecosystem food genetics machine learning waste disposal antiinfective agent algorithms anaerobiosis anti-bacterial agents drug resistance microbial ecosystem food genes bacterial machine learning refuse disposal sewage,food production
138,integration of anaerobic digestion with heat pump: machine learning-based technical and environmental assessment,10.1016/j.biortech.2022.128485,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144540448&doi=10.1016%2fj.biortech.2022.128485&partnerID=40&md5=8096e9bf40686ffaad7647714a196dc4,anaerobic digestion ad-based biogas production mitigates the environmental footprint of organic wastes eg food waste and sewage sludge and facilitates a circular economy the work proposed an integrated system where the thermal energy demand of an ad is supplied using an air source heat pump ashp the proposed system is compared to a baseline system where the thermal energy is supplied by a natural gas-based heating system several machine learning models are developed for predicting biogas production among which the gaussian process regression gpr showed a superior performance r2 = 084 and rmse = 00755 l gvs−1 day−1 the gpr model further informed a thermodynamic model of the ashp which revealed the maximum biogas yield to be approximately 0585 lgvs−1day−1 at an optimal temperature of 55 °c thermophilic subsequently life cycle assessment showed that ashp-based ad heating systems achieved 281 % thermophilic and 368 % mesophilic carbon abatement than the baseline system © 2022 the authors,bioenergy data-driven models life cycle assessment net-zero waste management,anaerobic digestion biogas heat pump systems heating equipment information management machine learning sewage sludge thermal energy air-source heat pumps baseline systems bio-energy biogas production data-driven model heat pumps heating system life cycle assessment net-zero thermophilics life cycle biogas carbon natural gas biofuel methane anaerobic digestion biogas environmental assessment food waste gaussian method heating life cycle analysis pumping regression analysis sewage sludge thermal power thermodynamics anaerobic digestion article carbon emission economic aspect energy conservation energy yield environmental footprint environmental impact assessment flow rate food waste hydraulic retention time life cycle assessment machine learning organic waste process model sensitivity analysis support vector machine waste management water supply anaerobic growth bioreactor food heat sewage waste disposal anaerobiosis biofuels bioreactors food hot temperature methane refuse disposal sewage,food production
140,seasonality of agricultural exposure as an important predictor of seasonal yellow fever spillover in brazil,10.1038/s41467-021-23926-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108158607&doi=10.1038%2fs41467-021-23926-y&partnerID=40&md5=f2ace42fb5b5c38c24d28d662a8f8066,yellow fever virus yfv is a zoonotic arbovirus affecting both humans and non-human primates nhp’s in africa and south america previous descriptions of yf’s seasonality have relied purely on climatic explanations despite the high proportion of cases occurring in people involved in agriculture we use a series of random forest classification models to predict the monthly occurrence of yf in humans and nhp’s across brazil by fitting four classes of covariates related to the seasonality of climate and agriculture planting and harvesting crop output and host demography we find that models captured seasonal yf reporting in humans and nhps when they considered seasonality of agriculture rather than climate particularly for monthly aggregated reports these findings illustrate the seasonality of exposure through agriculture as a component of zoonotic spillover additionally by highlighting crop types and anthropogenic seasonality these results could directly identify areas at highest risk of zoonotic spillover © 2021 the authors,blank,climate change covariance analysis numerical model random walk method risk assessment seasonality spillover effect yellow fever agriculture animal reservoir article brazil climate change comparative study computer language controlled study demography disease surveillance disease transmission environmental exposure geographic distribution governmental organization human infection risk nonhuman random forest seasonal variation virus transmission yellow fever animal climate epidemic forest primate season yellow fever yellow fever virus zoonosis africa brazil arbovirus yellow fever virus agriculture animals brazil climate disease outbreaks forests humans primates seasons yellow fever yellow fever virus zoonoses,food production
141,prediction of winter wheat yield based on multi-source data and machine learning in china,10.3390/rs12020236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081078655&doi=10.3390%2frs12020236&partnerID=40&md5=d821dce8f15b400fe5942d850e2b4263,wheat is one of the main crops in china and crop yield prediction is important for regional trade and national food security there are increasing concerns with respect to how to integrate multi-source data and employ machine learning techniques to establish a simple timely and accurate crop yield prediction model at an administrative unit many previous studies were mainly focused on the whole crop growth period through expensive manual surveys remote sensing or climate data however the effect of selecting different time window on yield prediction was still unknown thus we separated the whole growth period into four time windows and assessed their corresponding predictive ability by taking the major winter wheat production regions of china as an example in the study firstly we developed a modeling framework to integrate climate data remote sensing data and soil data to predict winter wheat yield based on the google earth engine gee platform the results show that the models can accurately predict yield 1~2 months before the harvesting dates at the county level in china with an r2 &gt 075 and yield error less than 10% support vector machine svm gaussian process regression gpr and random forest rf represent the top three best methods for predicting yields among the eight typical machine learning models tested in this study in addition we also found that different agricultural zones and temporal training settings affect prediction accuracy the three models perform better as more winter wheat growing season information becomes available our findings highlight a potentially powerful tool to predict yield using multiple-source data and machine learning in other regions and for crops © 2020 by the authors,google earth engine gee machine learning multi-source data triticum aestivum l wheat yield prediction,crops decision trees earth planet engines food supply forecasting random forests remote sensing support vector machines support vector regression different time windows gaussian process regression google earths machine learning models machine learning techniques multisource data triticum aestivum l wheat yield learning systems,food production
144,promoting ethically responsible use of agricultural biotechnology,10.1016/j.tplants.2020.12.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099616848&doi=10.1016%2fj.tplants.2020.12.015&partnerID=40&md5=750c3a9fe13b0d7c1891c7cbb3c27e94,growing global demands for food bioenergy and specialty products along with the threat posed by various environmental changes present substantial challenges for agricultural production agricultural biotechnology offers a promising avenue for meeting these challenges however ethical and sociocultural concerns must first be addressed to ensure widespread public trust and uptake to be effective we need to develop solutions that are ethically responsible socially responsive relevant to people of different cultural and social backgrounds and conveyed to the public in a convincing and straightforward manner here we highlight how ethical approaches principled decision-making strategies citizen-stakeholder participation effective science communication and bioethics education should be used to guide responsible use of agricultural biotechnology © 2020 elsevier ltd,bioethics education ethical reasoning plant biotechnology public and political engagement responsible research and innovation science communication,agriculture bioethics biotechnology agriculture bioethics biotechnology,food production
145,accelerating climate resilient plant breeding by applying next-generation artificial intelligence,10.1016/j.tibtech.2019.05.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067510759&doi=10.1016%2fj.tibtech.2019.05.007&partnerID=40&md5=d98ac02d1cd5db06ba7c99f97937137d,breeding crops for high yield and superior adaptability to new and variable climates is imperative to ensure continued food security biomass production and ecosystem services advances in genomics and phenomics are delivering insights into the complex biological mechanisms that underlie plant functions in response to environmental perturbations however linking genotype to phenotype remains a huge challenge and is hampering the optimal application of high-throughput genomics and phenomics to advanced breeding critical to success is the need to assimilate large amounts of data into biologically meaningful interpretations here we present the current state of genomics and field phenomics explore emerging approaches and challenges for multiomics big data integration by means of next-generation next-gen artificial intelligence ai and propose a workable path to improvement © 2019 elsevier ltd,augmented breeding explainable ai field phenomics genomics next-generation artificial intelligence smart farming,artificial intelligence ecosystems food supply augmented breeding biological mechanisms environmental perturbations field phenomics genomics high-throughput genomics large amounts of data smart farming data integration agricultural worker artificial intelligence big data climate genomics human plant breeding review artificial intelligence biomass climate climate change crop ecosystem genetics genomics genotype phenotype plant breeding procedures artificial intelligence biomass climate climate change crops agricultural ecosystem genomics genotype humans phenomics phenotype plant breeding,food production
